diagnostico,n,percentual
Lúpus eritematoso,26,34.67
Artrite reumatoide,23,30.67
Espondiloartrite,14,18.67
"Lúpus eritematoso, Fibromialgia",2,2.67
Doença de BC,2,2.67
"Osteoporose, Arterite temporal, Artrose",1,1.33
"Artrite reumatoide, Artrose, Fibromialgia, Lúpus eritematoso",1,1.33
"Artrite reumatoide, Artrose",1,1.33
Artrose,1,1.33
"Fibromialgia, Artrose, Osteoporose",1,1.33
Osteoporose,1,1.33
Síndrome antifosfolipídica (SAF),1,1.33
Em descoberta,1,1.33
